과,국명,학명,천연기념물,멸종위기야생생물,해양보호생물,
,큰물떼새,Charadrius veredus,
,흰눈썹물떼새,Charadrius morinellus,
호사도요과,호사도요,Rostratula benghalensis,천,
물꿩과,물꿩,Hydrophasianus chirurgus,
도요과,중부리도요,Numenius phaeopus,
,쇠부리도요,Numenius minutus,
,알락꼬리마도요,Numenius madagascariensis,,II,해,
,마도요,Numenius arquata,
,큰뒷부리도요,Limosa lapponica,,II,
,흑꼬리도요,Limosa limosa,
,꼬까도요,Arenaria interpres,
,붉은어깨도요,Calidris tenuirostris,,II,
,붉은가슴도요,Calidris canutus,
,목도리도요,Calidris pugnax,
,송곳부리도요,Calidris falcinellus,
,메추라기도요,Calidris acuminata,
,붉은갯도요,Calidris ferruginea,
,흰꼬리좀도요,Calidris temminckii,
,종달도요,Calidris subminuta,
,넓적부리도요,Calidris pygmaea,,I,해,
,좀도요,Calidris ruficollis,
,세가락도요,Calidris alba,
,민물도요,Calidris alpina,
,작은도요,Calidris minuta,
,누른도요,Calidris subruficollis,
,아메리카메추라기도요,Calidris melanotos,
,큰부리도요,Limnodromus semipalmatus,
,긴부리도요,Limnodromus scolopaceus,
,멧도요,Scolopax rusticola,
,꼬마도요,Lymnocryptes minimus,
,청도요,Gallinago solitaria,
,큰꺅도요,Gallinago hardwickii,
,바늘꼬리도요,Gallinago stenura,
,꺅도요사촌,Gallinago megala,
,꺅도요,Gallinago gallinago,
,뒷부리도요,Xenus cinereus,
,큰지느러미발도요,Phalaropus tricolor,
,지느러미발도요,Phalaropus lobatus,
,붉은배지느러미발도요,Phalaropus fulicarius,
,깝작도요,Actitis hypoleucos,
,삑삑도요,Tringa ochropus,
,노랑발도요,Tringa brevipes,
,붉은발도요,Tringa totanus,
,쇠청다리도요,Tringa stagnatilis,
,알락도요,Tringa glareola,
,학도요,Tringa erythropus,
,청다리도요,Tringa nebularia,
,청다리도요사촌,Tringa guttifer,,I,해,
,큰노랑발도요,Tringa melanoleuca,
제비물떼새과,제비물떼새,Glareola maldivarum,
갈매기과,흰제비갈매기,Gygis alba,
,세가락갈매기,Rissa tridactyla,
,북극흰갈매기,Pagophila eburnea,
,목테갈매기,Xema sabini,
,긴목갈매기,Chroicocephalus genei,
,붉은부리갈매기,Chroicocephalus ridibundus,
,검은머리갈매기,Chroicocephalus saundersi,,II,
,꼬마갈매기,Hydrocoloeus minutus,
,고대갈매기,Ichthyaetus relictus,,II,
,큰검은머리갈매기,Ichthyaetus ichthyaetus,
,괭이갈매기,Larus crassirostris,
,갈매기,Larus canus,
,수리갈매기,Larus glaucescens,
,흰갈매기,Larus hyperboreus,
,작은흰갈매기,Larus glaucoides,
,작은흰갈매기,Larus glaucoides kumlieni,
,작은재갈매기,Larus glaucoides thayeri,
,옅은재갈매기,Larus smithsonianus,
,재갈매기,Larus vegae,
,한국재갈매기,Larus mongolicus,
,큰재갈매기,Larus schistisagus,
,줄무늬노랑발갈매기,Larus fuscus,
,줄무늬노랑발갈매기,Larus fuscus heuglini,
,큰부리제비갈매기,Gelochelidon nilotica,
,붉은부리큰제비갈매기,Hydroprogne caspia,
